,cancerType
samp244_13e904db_be4f_4a53_9741_a5187f4d3dcf_KICA,KICA
samp245_4d33ae3d_d6e6_47cd_bb5d_52134a7bcf8d_COCA,COCA
samp246_95ce8ec3_d07a_40b1_9787_39f1cdf18bf2_BRCA,BRCA
samp247_e238e3a1_0301_4e93_9082_4422519763b6_KICA,KICA
samp248_f33f4c0e_f6a3_4029_a49b_25f90b1fd551_BRCA,BRCA
samp249_fee1f175_a5ea_49bc_b7d8_e42194d87e49_LECA,LECA
samp250_208ff668_65ce_4d33_9882_4a7398ead4ac_BRACA,BRACA
samp251_8c2873db_5e99_4c10_81f9_3100d95aeff9_KICA,KICA
samp252_9a02b219_fcfe_437b_a579_5a6d51b0d0cd_LECA,LECA
samp253_62a23bb9_be3e_4e5b_8faf_ece06c60a4d9_BRACA,BRACA
samp254_a7042cff_ea90_4c53_beeb_ac074f4e43a4_KICA,KICA
samp255_95c756bf_1126_4981_8790_a6c8073176e7_KICA,KICA
samp256_8c63008b_4b01_40c1_9cde_3f4385b99380_KICA,KICA
samp257_3820e03c_19d9_4145_a422_06a98c58e1f4_LECA,LECA
samp258_32242f4e_5303_49a5_8071_f0bfabef4ae6_LECA,LECA
samp259_8e1afc55_fa77_493c_ba9c_05b2eb1157fd_LUCA,LUCA
samp260_a54d2e0d_7a4f_4732_bb18_6860b0d7737f_KICA,KICA
samp261_0223cc1f_e3e5_4909_bbe8_6a73444d01e5_KICA,KICA
samp262_3f1efee5_4d26_498e_b28d_1a4a4d5a35e5_COCA,COCA
samp263_3cd7007b_5825_4668_8da1_36638e830fd9_LECA,LECA
samp264_715bd371_4f22_4f97_a9df_ebaf34715a1e_BRACA,BRACA
samp265_66b4502b_d393_4664_a317_430ec1ad4b3b_COCA,COCA
samp266_ad8ee68b_d513_4110_828d_cd26f9d16bcf_LECA,LECA
samp267_8b0bdebf_7292_4b66_bcf2_fcb0a06c24e3_BRCA,BRCA
samp268_6d5f3dca_a2bc_4896_8e8d_e225b3ca63d9_LECA,LECA
samp269_97003bc1_47d4_41b5_b887_625d60d2ca6e_LECA,LECA
samp270_734bdfa0_5c38_4518_8e70_cd50ec6f8c92_BRCA,BRCA
samp271_5028f9f0_d9ff_4439_9084_fee423ad4ca7_BRCA,BRCA
samp272_b5c2ff6a_03fa_4a1f_8c51_5e121ec5a367_LECA,LECA
samp273_c436d15e_0fbf_47ee_9859_7b2fb11748c3_LECA,LECA
samp274_76373be4_82d0_4754_966e_f6076412383a_KICA,KICA
samp275_752a0ad0_958f_48aa_87b9_a77fd9db52fb_KICA,KICA
samp276_3953b63a_1a63_4e97_b683_ae905b55e03e_LUCA,LUCA
samp277_4c7083b3_eccc_4d80_a31d_6fd3cd0222b4_COCA,COCA
samp278_60265229_965f_4554_8f08_2e7128781065_LECA,LECA
samp279_18532dfb_6d6a_4958_9f32_5d1b475d9dff_KICA,KICA
samp280_f350787b_2d2d_4baa_b6a9_981ee5f52045_LECA,LECA
